Nepaliera,ne,NEPĀLĪ BHĀṢĀ
Errumaniera,ro,ROMÂNĂ
Kitxua,qu,KICHWA SHIMI
Diola,dyo,DIOLA
Guaraniera,gn,AVAÑE'Ẽ
Wolofera,wo,WOLOF
Marrokiera,ary,DARIJA
Txinera,zh,HÀNYǓ
Urdú,ur,URDŪ
Tamazight,ber,TAMAZIGHT
Aymara,ay,AYMAR ARU
Fulfulde,ff,FULFULDE
Portugesa,pt,PORTUGUĚS
Bulgariera,bg,БЪЛГАРСКИ ЕЗИК
Alemana,de,DEUTSCH
Galiziera,gl,GALEGO
Katalana,ca,CATALÀ
Frantsesa,fr,FRANÇAIS
Gaztelania,es,CASTELLANO
Ingelesa,en,ENGLISH
Poloniera,pl,JĘZYK POLSKI
Errusiera,ru,РУССКИЙ ЯЗЫК
Errusiera_latindarra,ru_rom,RUSSKIY YAZYK
Italiera,it,ITALIANO
Hassaniya_latindarra,mey_rom,ḤASSĀNĪYA
Hassaniya,mey,حسانية
Punjabiera,pa,PAṈJĀBĪ
Brasilgo portugesa,pt_br,BRASILEIRO
Valentziera,ca_vc,VALENCIÀ
Luxenburgera,lb,LËTZEBUERGESCH
Grekoa_latindarra,el_rom,ELLINIKÁ
Grekoa,el,ΕΛΛΗΝΙΚΆ
Turkiera,tr,TÜRKÇE
Esloveniera,sl,SLOVENŠČINA
Ukrainera,uk,УКРАЇНСЬКА МОВА
Hungariera,hu,MAGYAR
Serbiera_latindarra,sr_rom,SRPSK
Serbiera,sr,СРПСКИ
Kroaziera,hr,HRVATSKI
Kreolera,kea,KRIOLU
Sardiniera,sc,SARDU
Hindia,HINDĪ,HINDĪ
Bengaliera,bn,BANGLA
Lingala,ln,LINGÁLA
Asturiera,ast,ASTURIANU
Tagalo,tl,WIKANG TAGALOG
Suediera,sv,SVENSKA
Txekiera,cs,ČEŠTINA
Suomiera,fi,SUOMEN KIELI
Slovakiera,sk,SLOVENČINA
Islandiera,is,ÍSLENSKA
